大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
哈佛大学	Harvard University	美国, 北美洲	USNEWS世界大学排名	2025	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	USNEWS世界大学排名	2025	2	2
斯坦福大学	Stanford University	美国, 北美洲	USNEWS世界大学排名	2025	3	3
牛津大学	University of Oxford	英国, 欧洲	USNEWS世界大学排名	2025	4	4
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	USNEWS世界大学排名	2025	5	5
剑桥大学	University of Cambridge	英国, 欧洲	USNEWS世界大学排名	2025	6	6
伦敦大学学院	University College London	英国, 欧洲	USNEWS世界大学排名	2025	7	7
华盛顿大学-西雅图	University of Washington	美国, 北美洲	USNEWS世界大学排名	2025	7	7
哥伦比亚大学	Columbia University	美国, 北美洲	USNEWS世界大学排名	2025	9	9
耶鲁大学	Yale University	美国, 北美洲	USNEWS世界大学排名	2025	10	10
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	USNEWS世界大学排名	2025	11	11
帝国理工学院	Imperial College London	英国, 欧洲	USNEWS世界大学排名	2025	12	12
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	USNEWS世界大学排名	2025	13	13
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	USNEWS世界大学排名	2025	14	14
加州大学-旧金山	University of California, San Francisco	美国, 北美洲	USNEWS世界大学排名	2025	15	15
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	USNEWS世界大学排名	2025	16	16
多伦多大学	University of Toronto	加拿大, 北美洲	USNEWS世界大学排名	2025	17	17
普林斯顿大学	Princeton University	美国, 北美洲	USNEWS世界大学排名	2025	18	18
康奈尔大学	Cornell University	美国, 北美洲	USNEWS世界大学排名	2025	19	19
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	USNEWS世界大学排名	2025	19	19
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	USNEWS世界大学排名	2025	21	21
新加坡国立大学	National University of Singapore	新加坡, 亚洲	USNEWS世界大学排名	2025	22	22
加州理工学院	California Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2025	23	23
